id,grandeur,valeur,ic_bas,ic_haut,methode_ic,n_replicats,graine,script,commit,csv_source,statut
twin-top1-ferme-json41-naif,"Twin-2K-500, top-1 monde ferme, jumeau JSON Persona GPT4.1, attaque naive par accord de Hamming, n=2058 ; graphie publiee 20,7 %, valeur exacte du CSV 0,2068027",20.7,19.0,22.4,bootstrap percentile 2.5/97.5 sur les personnes,2000,20260911,analyses/c7_reidentification.py,931916c,resultats/c7-reidentification.csv,courant
twin-top1-ferme-json41-fort,"Twin-2K-500, top-1 monde ferme, meme jumeau, attaquant fort A-LLR hors pli, n=2058 — NE PAS FUSIONNER avec twin-top1-ferme-json41-naif",23.23,21.5,25.0,bootstrap percentile sur les personnes,2000,20260912,analyses/c7_attaquant_fort.py,71f663b,resultats/c7-attaquant-fort.csv,courant
park-top1-ferme-fort-allr,"Park (Stanford), top-1 monde ferme, composite, attaquant fort A-LLR hors pli 5 plis, n=1052",90.40,88.6,92.2,bootstrap percentile sur les personnes,2000,20260912,analyses/c7_attaquant_fort.py,71f663b,resultats/c7-attaquant-fort.csv,courant
park-tpr-fpr1-fort-ouvert,"Park (Stanford), monde ouvert, attaquant fort A-LLR, TPR a FPR = 1 %, n=1052 ; IC re-estime, plis bloques par identite",60.17,54.5,64.4,bootstrap percentile 2.5/97.5 re-estimant a_j/q_j,300,20260912,analyses/c7_fort_monde_ouvert_ic.py,09b18d7,resultats/c7-fort-monde-ouvert-ic.csv,courant
twin-transfert-top1-60items,"Twin, transfert jumeau-a-jumeau, moyenne non ponderee du top-1 sur les 30 paires a 60 items communs ; valeur recalculee 0,363796. AUCUNE agregation d'IC n'existe : les IC du CSV sont par paire",36.4,ABSENT,ABSENT,ABSENT — aucun IC agrege n'a jamais ete calcule pour cette moyenne,ABSENT,20260912,analyses/c7_transfert.py,921635d,resultats/c7-transfert-voletA.csv,provisoire
twin-d4-top1-residuel,"Twin, defense D4 (permutation intra-segment des 40 items d'achat), top-1 residuel sous attaque naive, n=2058 ; graphie publiee 0,13 %, valeur exacte 0,0012634",0.13,0.01,0.28,bootstrap percentile sur les personnes,2000,20260911,analyses/c7_defense.py,c1d68b9,resultats/c7-defense-resultats.csv,courant
rho-nul-marge-appariee-12conf,"Spearman du nul de marge a exactitude-verite appariee, cellules fausses tirees dans la marginale de population, 12 configurations, items entiers. Les bornes sont les centiles 5/95 d'une loi nulle simulee, PAS un intervalle de confiance. -> RETRACTE le 13/09/2026, remplace par rho-nul-marge-appariee-12conf-n100 (0,980 ; [0,951 ; 0,993]) : cette valeur vient d'un run arrete a 20 replicats, alors que le preenregistrement resultats/c7-nul-corrige-preenregistrement.md §5 prescrit 100 replicats. La serie a 20 est un prefixe bit-exact de celle a 100 ; la refutation de la prediction (b) tient dans les deux cas (0,9650 ne depasse ni 0,9934 ni 0,9930). Valeur conservee ici parce qu'elle a ete publiee au tableau 1 et envoyee a un tiers : voir resultats/correction-t1b-2026-09-13.md",0.974,0.950,0.993,centiles 5/95 d'une loi nulle simulee (pas un IC),20,20260912,analyses/c7_temoin_verite_appariee.py,218c955,"resultats/c7-nul-corrige-marginal.csv (variante=marginal, n_replicats=20, ligne=agregat)",retracte
rho-nul-marge-appariee-12conf-n100,"Spearman du nul de marge a exactitude-verite appariee, cellules fausses tirees dans la marginale de population, 12 configurations, items entiers, aux 100 replicats prescrits par le preenregistrement §5. Les bornes sont les centiles 5/95 d'une loi nulle simulee, PAS un intervalle de confiance. Graphie publiee 0,980 ; valeur exacte du CSV 0,9798947065 (mediane 0,9815884, min 0,9301, max 1,0000). Remplace rho-nul-marge-appariee-12conf (0,974, n=20, retracte)",0.980,0.951,0.993,"centiles 5/95 d'une loi nulle simulee (pas un IC) ; valeurs exactes 0,9510489510 et 0,9930069930",100,"20260912 ; rng [20260912, 999, r, crc32(nom), 0] (0 = mode marginal), indexee par replicat r",analyses/c7_temoin_verite_appariee.py,0e6585a,"resultats/c7-nul-corrige-marginal.csv (variante=marginal, n_replicats=100, ligne=agregat, fait_foi_tableau1=oui)",courant
rho-observe-12conf-items-entiers,"Spearman observe fidelite/fuite, 12 configurations, items entiers — la valeur a opposer a rho-nul-marge-appariee-12conf. NE PAS FUSIONNER avec rho-observe-12conf-memes-items (0,958) ni avec le rho sur items disjoints (0,969)",0.965,0.937,0.993,bootstrap percentile sur les personnes,ABSENT,20260912,analyses/c7_nul_corrige.py,09b18d7,resultats/c7-nul-corrige.csv,provisoire
rho-observe-12conf-memes-items,"Spearman observe fidelite/fuite sur les 12 memes items, n=12 — troisieme perimetre, NE PAS FUSIONNER avec 0,965 ni 0,969",0.958,0.930,0.993,bootstrap percentile,ABSENT,ABSENT,analyses/c7_compromis.py,ef6695e,resultats/c7-compromis.csv,provisoire
rho-nul-marge-items-disjoints,"Spearman du nul de marge sur items disjoints, temoin NON CORRIGE, 100 replicats — ancienne paire, conservee pour la tracabilite ; ne pas la tracer en figure 2 (article-synthese.md §5)",0.984,0.965,1.000,centiles 5/95 d'une loi nulle simulee (pas un IC),100,20260912,analyses/c7_disjoint.py,37b58b2,resultats/c7-disjoint-nul.csv,provisoire
twin-tpr-fpr1-fort-ouvert,"Twin-2K-500, monde ouvert, attaquant fort A-LLR hors pli 5 plis, TPR a FPR = 1 %, n=2058 ; valeur exacte 0,042759961. IC (B) re-estime, celui que le rapport designe comme a citer ; l'IC figé [3,35 ; 5,39] du meme CSV n'est PAS celui du manuscrit. NE PAS FUSIONNER avec twin-tpr-fpr1-naif-ouvert (3,04 %)",4.28,3.3,5.6,"bootstrap percentile 2.5/97.5 sur les personnes, parametres A-LLR re-estimes a chaque tirage, plis bloques par identite, seuil rejoue",300,"20260912 ; rng [20260912, 200, crc32(Twin|fort|reestime)]",analyses/c7_fort_monde_ouvert_ic.py,09b18d7,resultats/c7-fort-monde-ouvert-ic.csv,courant
park-tpr-fpr01-fort-ouvert,"Park (Stanford), monde ouvert, attaquant fort A-LLR, TPR a FPR = 0,1 %, n=1052 ; valeur exacte 0,443722433. Le seuil repose sur ~1 faux positif absolu : le rapport interdit de la citer comme un taux mesure",44.37,23.3,53.8,"bootstrap percentile 2.5/97.5 sur les personnes, parametres A-LLR re-estimes a chaque tirage, plis bloques par identite, seuil rejoue",300,"20260912 ; rng [20260912, 200, crc32(Stanford|fort|reestime)]",analyses/c7_fort_monde_ouvert_ic.py,09b18d7,resultats/c7-fort-monde-ouvert-ic.csv,courant
twin-tpr-fpr01-fort-ouvert,"Twin-2K-500, monde ouvert, attaquant fort A-LLR, TPR a FPR = 0,1 %, n=2058 ; valeur exacte 0,010112731. Seuil defini par ~2 faux positifs absolus, facteur ~56 entre les bornes : estimation tres instable",1.01,0.05,2.82,"bootstrap percentile 2.5/97.5 sur les personnes, parametres A-LLR re-estimes a chaque tirage, plis bloques par identite, seuil rejoue",300,"20260912 ; rng [20260912, 200, crc32(Twin|fort|reestime)]",analyses/c7_fort_monde_ouvert_ic.py,09b18d7,resultats/c7-fort-monde-ouvert-ic.csv,courant
twin-tpr-fpr1-naif-ouvert,"Twin-2K-500, monde ouvert, attaque naive par accord de Hamming, TPR a FPR = 1 %, n=2058 ; valeur exacte 0,030408163. IC a seuil rejoue ; la variante a seuil fixe [2,235 ; 3,741] du meme CSV n'est PAS celle du manuscrit",3.04,2.0,4.0,"bootstrap percentile 2.5/97.5 sur les personnes, seuil rejoue a chaque tirage (pool de candidats non reechantillonne)",2000,"20260912 ; rng [20260912, 99, crc32(Twin|Meilleur jumeau (JSON Persona GPT4.1))]",analyses/c7_monde_ouvert_ic.py,09b18d7,resultats/c7-monde-ouvert-ic.csv,courant
park-tpr-fpr1-naif-ouvert,"Park (Stanford), monde ouvert, attaque naive, TPR a FPR = 1 %, n=1052 ; valeur exacte 0,203910013. IC a seuil rejoue ; variante a seuil fixe [17,776 ; 22,719] non citee",20.39,15.7,24.5,"bootstrap percentile 2.5/97.5 sur les personnes, seuil rejoue a chaque tirage",2000,"20260912 ; rng [20260912, 99, crc32(Stanford|Meilleur agent (composite))]",analyses/c7_monde_ouvert_ic.py,09b18d7,resultats/c7-monde-ouvert-ic.csv,courant
plafond-humain-twin-tpr-fpr1,"Twin-2K-500, plafond de retest humain, monde ouvert, TPR a FPR = 1 %, n=2058 ; valeur exacte 0,544885811. COLLISION DE GRAPHIE : 54,5 est aussi la borne basse de park-tpr-fpr1-fort-ouvert — ne jamais apparier ces chiffres par recherche textuelle",54.5,50.8,57.5,"bootstrap percentile 2.5/97.5 sur les personnes, seuil rejoue a chaque tirage",2000,"20260912 ; rng [20260912, 99, crc32(Twin|Retest humain (plafond))]",analyses/c7_monde_ouvert_ic.py,09b18d7,resultats/c7-monde-ouvert-ic.csv,courant
plafond-humain-park-tpr-fpr1,"Park (Stanford), plafond de retest humain, monde ouvert, TPR a FPR = 1 %, n=1052 ; valeur exacte 0,906882129. COLLISION DE GRAPHIE : ne pas confondre avec park-top1-ferme-fort-allr (90,40 %), grandeur differente",90.7,88.2,93.3,"bootstrap percentile 2.5/97.5 sur les personnes, seuil rejoue a chaque tirage",2000,"20260912 ; rng [20260912, 99, crc32(Stanford|Retest humain (plafond))]",analyses/c7_monde_ouvert_ic.py,09b18d7,resultats/c7-monde-ouvert-ic.csv,courant
pmm-k10-top1-ferme-contre-examen,"PMM k=10, top-1 monde ferme au regime d'exactitude 0,457-0,511, valeur publiee au manuscrit. TROIS mesures proches du meme comparateur, NE JAMAIS FUSIONNER : 0,23 % (publiee, ci-dessous), 0,2259 % (c7-bits.csv), 0,2187 % (c7-compromis.csv), 0,2106 % (c7-nul-corrige.csv, rapport retracte). Aucun flottant a pleine precision n'existe pour la valeur publiee",0.23,0.06,0.42,ABSENT — ni le rapport ni aucun code lisible ne nomme la methode,ABSENT,ABSENT,"ABSENT — script jetable hors depot (scratchpad de session), declare comme tel en tete du rapport",293a6e8,ABSENT — aucun CSV ne porte ce triplet ; seul support : resultats/c7-contre-examen-2026-09-11.md l.13,provisoire
temoin-marge-top1-json41-marginal,"Top-1 monde ferme du temoin de marge a exactitude-verite appariee, cellules fausses tirees dans la marginale de population, config JSON Persona - GPT4.1, 60 items entiers, pool 2058. Graphie manuscrit 31,6 % ; graphie rapport 31,62 %. ATTENTION : la borne 31,6 de loi-distance-raisonnement-top1-d1 est un AUTRE objet",31.6,ABSENT,ABSENT,"ABSENT — aucun IC n'a jamais ete calcule pour ce top-1 ; le [0,950 ; 0,993] publie a cote est l'IC du rho (rho-nul-marge-appariee-12conf), pas du top-1",20,"20260912 ; rng [20260912, 999, r, crc32(nom), 0] (0 = mode marginal)",analyses/c7_temoin_verite_appariee.py,218c955,"ABSENT — le script n'ecrit aucun fichier, il imprime seulement ; seule trace : resultats/audit-renversement-2026-09-12.md §1.3",provisoire
nul-casse-N0-top1-json41,"Top-1 du temoin de marge d'ORIGINE (N0, cellules fausses tirees uniformement en evitant la vraie reponse), JSON Persona - GPT4.1 -> RETRACTE, remplace par temoin-marge-top1-json41-marginal (31,6 %). Le facteur 1,3 du manuscrit est le rapport de ces deux estimateurs NON APPARIES (100 replicats contre 20). IC non publies au manuscrit",41.2,38.76,42.81,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),100 replicats ; 2000 tirages bootstrap,"20260912 ; bootstrap [20260912, 8]",analyses/c7_nul_corrige.py,d5980b1,resultats/c7-nul-corrige.csv l.16,retracte
twin-top1-ferme-json41-naif-ref-defense,"Twin-2K-500, top-1 monde ferme, jumeau non protege, ligne de REFERENCE du banc de defense (le 20,7 % de la phrase 20,7 -> 0,13 %). TROISIEME implementation du meme 20,7 % : 0,20670554 [0,190379 ; 0,224150] ici, 0,2068027 dans c7-reidentification.csv, 0,2069485 dans c7-attaquant-fort.csv. NE PAS FUSIONNER avec twin-top1-ferme-json41-naif",20.7,19.0,22.4,bootstrap percentile 2.5/97.5 sur les personnes (a2_commun.bootstrap_personnes),2000,"20260911 ; bootstrap [20260911, 201, crc32(suffixe)]",analyses/c7_defense.py,c1d68b9,resultats/c7-defense-resultats.csv,courant
defense-d4-cout-correlations,"Cout de la defense D4 (permutation intra-segment) sur les correlations inter-items, en points, n=2058 ; valeur exacte 4,399958991 (colonne erreur_correlations)",4.4,ABSENT,ABSENT,"SANS OBJET — aucun IC n'est calcule : erreur_correlations() retourne un point unique (moyenne des |delta| sur le triangle superieur, x100), aucun reechantillonnage. Le seul bootstrap de c7_defense.py porte sur top1",1 (calcul deterministe sur un seul tirage de permutation),"20260911 ; permutation D4 rng [20260911, 104]",analyses/c7_defense.py,c1d68b9,resultats/c7-defense-resultats.csv,courant
defense-d4-cout-groupes,"Cout de la defense D4 sur les differences entre groupes, en points, n=2058 ; valeur exacte 0,0 (idem erreur_distribution)",0.0,ABSENT,ABSENT,"SANS OBJET — zero EXACT par construction : la permutation intra-segment laisse invariantes la moyenne de segment et la marginale par item. Ce n'est pas une estimation, un IC n'aurait pas de sens",1 (deterministe),"20260911 ; rng [20260911, 104]",analyses/c7_defense.py,c1d68b9,resultats/c7-defense-resultats.csv,courant
