configuration,ancrage,camp,enonce,libelle,n_personnes,modele_second_ordre,reel,croyance_humaine_endo,croyance_humaine_exo,d_reel,d_endo,d_exo,plancher,modele_soutien_simule
demographics_only__gpt41_mini,ideologie,gauche,1,Placing a tax on carbon emissions,909,78.67986798679868,62.779397473275026,51.233223322332236,43.39506172839506,15.900470513523658,27.446644664466447,35.28480625840362,12.886688668866887,100.0
demographics_only__gpt41_mini,ideologie,gauche,2,Ensuring 40% of all new clean energy infrastructure development spending goes to low-income communities,909,75.68756875687569,61.613216715257536,44.63036303630363,41.85537918871252,14.074352041618155,31.057205720572064,33.83218956816317,15.242024202420241,100.0
demographics_only__gpt41_mini,ideologie,gauche,3,Federal investments to ensure a carbon-pollution free electricity sector by 2035,909,82.68426842684268,66.47230320699708,51.11771177117712,42.74955908289242,16.211965219845595,31.566556655665558,39.93470934395026,14.646864686468646,100.0
demographics_only__gpt41_mini,ideologie,gauche,4,A ‘Medicare for All’ system in which all Americans would get healthcare from a government-run plan,909,81.2981298129813,73.46938775510205,58.394939493949394,49.070546737213405,7.8287420578792535,22.903190319031907,32.227583075767896,14.049504950495049,99.77997799779979
demographics_only__gpt41_mini,ideologie,gauche,5,"A ‘public option’, which would allow Americans to buy into a government-run healthcare plan if they choose to do so",909,76.78767876787678,75.94752186588921,59.114411441144114,57.22574955908289,0.8401569019875694,17.67326732673267,19.56192920879389,15.19031903190319,99.8899889988999
demographics_only__gpt41_mini,ideologie,gauche,6,Immigration reforms that would provide a path to U.S. citizenship for undocumented immigrants currently in the United States,909,81.14961496149616,66.22934888241011,48.66446644664467,40.32275132275132,14.920266079086048,32.48514851485149,40.82686363874483,14.608360836083609,100.0
demographics_only__gpt41_mini,ideologie,gauche,7,A law that requires companies to provide paid family leave for parents,909,84.03740374037403,78.71720116618076,67.1012101210121,62.439153439153436,5.320202574193274,16.93619361936193,21.598250301220595,12.672167216721672,100.0
demographics_only__gpt41_mini,ideologie,gauche,10,A 2% tax on the assets of individuals with a net worth of more than $50 million,909,74.24642464246425,74.39261418853256,65.31903190319032,56.864197530864196,0.1461895460683138,8.927392739273927,17.382227111600052,15.112211221122113,99.77997799779979
demographics_only__gpt41_mini,ideologie,gauche,11,Increasing deportations for those in the US illegally,909,27.926292629262925,45.09232264334305,50.759075907590756,66.11463844797179,17.16603001408013,22.83278327832783,38.18834581870886,14.911991199119912,0.0
demographics_only__gpt41_mini,ideologie,gauche,12,Offering seniors healthcare vouchers to purchase private healthcare plans in place of traditional medicare coverage,909,28.415841584158414,53.88726919339164,51.014301430143014,59.22927689594356,25.471427609233224,22.5984598459846,30.81343531178515,15.005500550055006,0.0
demographics_only__gpt41_mini,ideologie,centre,1,Placing a tax on carbon emissions,582,72.86941580756013,62.779397473275026,46.71649484536083,,10.090018334285105,26.152920962199303,,13.847079037800688,100.0
