item,n_personnes,n_changeurs,taux_changement,derive_nette_tv,part_dirigee,n_monotone,n_contraire,n_indetermine,part_monotone_du_changement,part_contraire_du_changement,exces_monotone,perimetre,libelle,taux_changement_2sem,surcroit_sur_plancher_stanford,nul_part_monotone,nul_part_contraire,nul_taux_changement,exces_monotone_nul
abany,2897.0,547.0,0.18881601656886435,0.009319986192613029,0.04936014625228509,159.0,260.0,128.0,0.2906764168190128,0.4753199268738574,-0.1846435100548446,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.10171102661596954,0.08710498995289481,0.49500892712222044,0.45057620516149977,0.17013462202278218,0.04443272196072068
abdefect,2857.0,402.0,0.1407070353517676,0.014700735036751848,0.10447761194029857,222.0,180.0,0.0,0.5522388059701493,0.44776119402985076,0.1044776119402985,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.08365019011406838,0.057056845237699216,0.5301810865191147,0.4459534987704002,0.12525026251312565,0.08422758774871447
abhlth,2871.0,270.0,0.09404388714733543,0.009752699407871816,0.10370370370370365,149.0,121.0,0.0,0.5518518518518518,0.44814814814814813,0.1037037037037037,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.041825095057034245,0.05221879209030118,0.531969092298548,0.4321134414536809,0.08204110066179032,0.09985565084486714
abnomore,2887.0,553.0,0.19154832005542086,0.011430550744717698,0.05967450271247739,214.0,339.0,0.0,0.38698010849909587,0.6130198915009042,-0.22603978300180833,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.11121673003802279,0.08033159001739806,0.5270841643398484,0.44862385321100917,0.17367509525458955,0.07846031112883922
abpoor,2887.0,544.0,0.1884308971250433,0.02078281953585037,0.11029411764705885,302.0,242.0,0.0,0.5551470588235294,0.44485294117647056,0.11029411764705882,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.09030418250950556,0.09812671461553774,0.5522565320665083,0.4396346957162749,0.16915829580879807,0.11262183635023337
abrape,2887.0,349.0,0.12088673363352961,0.00796674748874263,0.06590257879656153,134.0,163.0,52.0,0.3839541547277937,0.4670487106017192,-0.0830945558739255,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.053231939163498,0.06765479447003162,0.5136314757416661,0.45334935796065534,0.10951853134741947,0.06028211778101078
absingle,2915.0,529.0,0.18147512864493998,0.011320754716981147,0.06238185255198495,281.0,248.0,0.0,0.5311909262759924,0.46880907372400754,0.062381852551984876,4 ans,Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion ,0.09790874524714843,0.08356638339779154,0.5248537396355065,0.4535965318405657,0.16301200686106346,0.07125720779494082
aged,3120.0,1365.0,0.4375,0.05224358974358973,0.11941391941391939,569.0,406.0,390.0,0.41684981684981687,0.29743589743589743,0.11941391941391942,4 ans,"As you know, many older people share a home with their grown children. Do you think this is generally a good i",0.28707224334600756,0.15042775665399244,0.39184456915119636,0.29723512432416593,0.43749358974358976,0.09460944482703043
attend,4615.0,2812.0,0.60931744312026,0.1124593716143012,0.1845661450924609,984.0,600.0,1228.0,0.34992887624466573,0.21337126600284495,0.13655761024182078,4 ans,How often do you attend religious services?,0.25285171102661597,0.35646573209364407,0.3405761024182077,0.20966571834992886,0.60931744312026,0.13091038406827882
bible,4577.0,1324.0,0.2892724492025344,0.021629888573301278,0.07477341389728093,318.0,454.0,552.0,0.24018126888217523,0.3429003021148036,-0.1027190332326284,4 ans,"Which of these statements comes closest to describing your feelings about the Bible? 
 

 1) The Bible is the ",0.12452471482889738,0.16474773437363704,0.3442541160818227,0.29046157567694236,0.289023377758357,0.05379254040488035
